nombre_region;hectareas_afectadas_23;label_var_ha_afectadas;prop_var_ha_afectadas;var_ha_afectadas
Total;418904,36;236;236;236
Biobío;183267,06;690;690;691
Araucanía;110567,41;53;53;53
Ñuble;52754,48;440;440;439
Maule;30947,91;580;580;581
Metropolitana;14080,41;1506;1506;1500
Los Ríos;8386,8;1660;1660;1660
O'Higgins;7782,93;42;42;43
Valparaíso;7204,51;179;179;178
Magallanes;2990,85;154;154;154
Otras;922;-79;79;
Los Lagos;628,89;-17;17;17
Coquimbo;145,93;-92;92;92
Tarapacá;48,53;0;0;0
Arica y Parinacota;47,4;86;86;86
Antofagasta;19,5;117;117;117
Aysén;18,5;-99;99;99
Atacama;13,25;-32;32;32
